Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U10,0,B,False,,none,,False,True
U10,1,G,False,,none,,False,True
U10,2,B,True,1029.0,c_maj7_b9.wav,616.0,True,True
U10,3,G,False,,major_7th_cluster.wav,,True,False
U10,4,D,False,,minor_2nd_cluster.wav,,False,True
U10,5,D,False,,none,,False,True
U10,6,C,False,,none,,False,True
U10,7,B,False,,none,,False,True
U10,8,F,False,,c7_sharp_9.wav,,False,True
U10,9,C,False,,none,,False,True
U10,10,G,False,,none,,False,True
U10,11,F,False,,c_major_6.wav,,False,True
U10,12,G,True,1109.0,none,,True,True
U10,13,B,False,,stacked_tritones.wav,,False,True
U10,14,B,False,,none,,False,True
U10,15,B,False,,none,,True,False
U10,16,B,True,703.0,none,,True,True
U10,17,C,False,,c_min7_b5.wav,,False,True
U10,18,F,False,,c_major.wav,,False,True
U10,19,D,False,,none,,False,True
U10,20,C,False,,none,,False,True
U10,21,D,True,1011.0,none,,True,True
